patcnty1,dsch_yr,typcare1,Discharges
Humboldt,2012,Physical Rehabilitation Care,177
Humboldt,2012,Psychiatric Care,552
Humboldt,2012,Skilled Nursing/Intermediate Care,98
Humboldt,2013,Acute Care,12008
Humboldt,2013,Chemical Dependency Recovery Care,6
Humboldt,2013,Physical Rehabilitation Care,214
Humboldt,2013,Psychiatric Care,448
Humboldt,2013,Skilled Nursing/Intermediate Care,67
Humboldt,2014,Acute Care,12438
Humboldt,2014,Physical Rehabilitation Care,201
Humboldt,2014,Psychiatric Care,522
Humboldt,2014,Skilled Nursing/Intermediate Care,60
Humboldt,2015,Acute Care,12393
Humboldt,2015,Chemical Dependency Recovery Care,5
Humboldt,2015,Physical Rehabilitation Care,205
Humboldt,2015,Psychiatric Care,360
Humboldt,2015,Skilled Nursing/Intermediate Care,114
Humboldt,2016,Acute Care,12957
Humboldt,2016,Chemical Dependency Recovery Care,1
Humboldt,2016,Physical Rehabilitation Care,214
Humboldt,2016,Psychiatric Care,595
Humboldt,2016,Skilled Nursing/Intermediate Care,74
Humboldt,2017,Acute Care,12493
Humboldt,2017,Chemical Dependency Recovery Care,8
Humboldt,2017,Invalid/Blank,1
Humboldt,2017,Physical Rehabilitation Care,239
Humboldt,2017,Psychiatric Care,524
Humboldt,2017,Skilled Nursing/Intermediate Care,71
Humboldt,2018,Acute Care,12476
Humboldt,2018,Chemical Dependency Recovery Care,2
Humboldt,2018,Physical Rehabilitation Care,252
Humboldt,2018,Psychiatric Care,528
Humboldt,2018,Skilled Nursing/Intermediate Care,84
Humboldt,2019,Acute Care,12509
Humboldt,2019,Chemical Dependency Recovery Care,8
Humboldt,2019,Physical Rehabilitation Care,277
Humboldt,2019,Psychiatric Care,612
Humboldt,2019,Skilled Nursing/Intermediate Care,65
Humboldt,2020,Acute Care,10629
Humboldt,2020,Chemical Dependency Recovery Care,5
Humboldt,2020,Physical Rehabilitation Care,307
Humboldt,2020,Psychiatric Care,493
Humboldt,2020,Skilled Nursing/Intermediate Care,84
Humboldt,2021,Acute Care,10784
Humboldt,2021,Chemical Dependency Recovery Care,12
Humboldt,2021,Physical Rehabilitation Care,296
Humboldt,2021,Psychiatric Care,467
Humboldt,2021,Skilled Nursing/Intermediate Care,91
Humboldt,2022,Acute Care,11000
Humboldt,2022,Chemical Dependency Recovery Care,4
Humboldt,2022,Physical Rehabilitation Care,294
Humboldt,2022,Psychiatric Care,396
Humboldt,2022,Skilled Nursing/Intermediate Care,100
Humboldt,2023,Acute Care,10659
Humboldt,2023,Chemical Dependency Recovery Care,9
Humboldt,2023,Physical Rehabilitation Care,425
Humboldt,2023,Psychiatric Care,438
Humboldt,2023,Skilled Nursing/Intermediate Care,182
Imperial,2012,Acute Care,19028
Imperial,2012,Chemical Dependency Recovery Care,15
Imperial,2012,Physical Rehabilitation Care,78
Imperial,2012,Psychiatric Care,336
Imperial,2012,Skilled Nursing/Intermediate Care,16
Imperial,2013,Acute Care,17903
Imperial,2013,Chemical Dependency Recovery Care,17
Imperial,2013,Physical Rehabilitation Care,68
Imperial,2013,Psychiatric Care,251
Imperial,2013,Skilled Nursing/Intermediate Care,15
Imperial,2014,Acute Care,16802
Imperial,2014,Chemical Dependency Recovery Care,14
Imperial,2014,Physical Rehabilitation Care,82
Imperial,2014,Psychiatric Care,206
Imperial,2014,Skilled Nursing/Intermediate Care,18
Imperial,2015,Acute Care,17375
Imperial,2015,Chemical Dependency Recovery Care,17
Imperial,2015,Physical Rehabilitation Care,62
Imperial,2015,Psychiatric Care,196
Imperial,2015,Skilled Nursing/Intermediate Care,29
Imperial,2016,Acute Care,17363
Imperial,2016,Chemical Dependency Recovery Care,10
Imperial,2016,Physical Rehabilitation Care,64
Imperial,2016,Psychiatric Care,162
Imperial,2016,Skilled Nursing/Intermediate Care,15
Imperial,2017,Acute Care,17553
Imperial,2017,Chemical Dependency Recovery Care,18
Imperial,2017,Physical Rehabilitation Care,68
Imperial,2017,Psychiatric Care,184
Imperial,2017,Skilled Nursing/Intermediate Care,13
Imperial,2018,Acute Care,17328
Imperial,2018,Chemical Dependency Recovery Care,21
Imperial,2018,Physical Rehabilitation Care,58
Imperial,2018,Psychiatric Care,168
Imperial,2018,Skilled Nursing/Intermediate Care,10
Imperial,2019,Acute Care,16797
Imperial,2019,Chemical Dependency Recovery Care,18
Imperial,2019,Physical Rehabilitation Care,67
Imperial,2019,Psychiatric Care,199
Imperial,2019,Skilled Nursing/Intermediate Care,18
Imperial,2020,Acute Care,15603
Imperial,2020,Chemical Dependency Recovery Care,25
Imperial,2020,Physical Rehabilitation Care,57
Imperial,2020,Psychiatric Care,158
Imperial,2020,Skilled Nursing/Intermediate Care,21
Imperial,2021,Acute Care,14914
Imperial,2021,Chemical Dependency Recovery Care,8
Imperial,2021,Physical Rehabilitation Care,71
Imperial,2021,Psychiatric Care,123
Imperial,2021,Skilled Nursing/Intermediate Care,18
Imperial,2022,Acute Care,15092
Imperial,2022,Chemical Dependency Recovery Care,18
Imperial,2022,Physical Rehabilitation Care,52
Imperial,2022,Psychiatric Care,140
Imperial,2022,Skilled Nursing/Intermediate Care,18
Imperial,2023,Acute Care,14510
Imperial,2023,Chemical Dependency Recovery Care,14
Imperial,2023,Physical Rehabilitation Care,58
Imperial,2023,Psychiatric Care,211
Imperial,2023,Skilled Nursing/Intermediate Care,32
Inyo,2012,Acute Care,1399
Inyo,2012,Chemical Dependency Recovery Care,2
Inyo,2012,Physical Rehabilitation Care,7
Inyo,2012,Psychiatric Care,36
Inyo,2012,Skilled Nursing/Intermediate Care,36
Inyo,2013,Acute Care,1318
Inyo,2013,Chemical Dependency Recovery Care,4
Inyo,2013,Physical Rehabilitation Care,5
Inyo,2013,Psychiatric Care,36
Inyo,2013,Skilled Nursing/Intermediate Care,29
Inyo,2014,Acute Care,1473
Inyo,2014,Chemical Dependency Recovery Care,2
Inyo,2014,Physical Rehabilitation Care,7
Inyo,2014,Psychiatric Care,32
Inyo,2014,Skilled Nursing/Intermediate Care,88
Inyo,2015,Acute Care,1525
Inyo,2015,Chemical Dependency Recovery Care,3
Inyo,2015,Physical Rehabilitation Care,9
Inyo,2015,Psychiatric Care,17
Inyo,2015,Skilled Nursing/Intermediate Care,149
Inyo,2016,Acute Care,1409
Inyo,2016,Chemical Dependency Recovery Care,6
Inyo,2016,Physical Rehabilitation Care,10
Inyo,2016,Psychiatric Care,15
Inyo,2016,Skilled Nursing/Intermediate Care,109
Inyo,2017,Acute Care,1534
Inyo,2017,Chemical Dependency Recovery Care,4
Inyo,2017,Physical Rehabilitation Care,6
Inyo,2017,Psychiatric Care,37
Inyo,2017,Skilled Nursing/Intermediate Care,104
Inyo,2018,Acute Care,1473
Inyo,2018,Chemical Dependency Recovery Care,14
Inyo,2018,Physical Rehabilitation Care,12
Inyo,2018,Psychiatric Care,36
Inyo,2018,Skilled Nursing/Intermediate Care,126
Inyo,2019,Acute Care,1675
Inyo,2019,Chemical Dependency Recovery Care,6
Inyo,2019,Physical Rehabilitation Care,6
Inyo,2019,Psychiatric Care,30
Inyo,2019,Skilled Nursing/Intermediate Care,86
Inyo,2020,Acute Care,1443
Inyo,2020,Chemical Dependency Recovery Care,5
Inyo,2020,Physical Rehabilitation Care,16
Inyo,2020,Psychiatric Care,34
Inyo,2020,Skilled Nursing/Intermediate Care,61
Inyo,2021,Acute Care,1261
Inyo,2021,Chemical Dependency Recovery Care,9
Inyo,2021,Physical Rehabilitation Care,8
Inyo,2021,Psychiatric Care,33
Inyo,2021,Skilled Nursing/Intermediate Care,21
Inyo,2022,Acute Care,1131
Inyo,2022,Chemical Dependency Recovery Care,3
Inyo,2022,Physical Rehabilitation Care,13
Inyo,2022,Psychiatric Care,33
Inyo,2022,Skilled Nursing/Intermediate Care,17
Inyo,2023,Acute Care,1117
Inyo,2023,Chemical Dependency Recovery Care,5
Inyo,2023,Physical Rehabilitation Care,10
Inyo,2023,Psychiatric Care,26
Inyo,2023,Skilled Nursing/Intermediate Care,26
Kern,2012,Acute Care,88670
Kern,2012,Chemical Dependency Recovery Care,229
Kern,2012,Physical Rehabilitation Care,1665
Kern,2012,Psychiatric Care,2967
Kern,2012,Skilled Nursing/Intermediate Care,253
Kern,2013,Acute Care,84730
Kern,2013,Chemical Dependency Recovery Care,218
Kern,2013,Physical Rehabilitation Care,1872
Kern,2013,Psychiatric Care,3089
Kern,2013,Skilled Nursing/Intermediate Care,376
Kern,2014,Acute Care,85418
Kern,2014,Chemical Dependency Recovery Care,201
Kern,2014,Invalid/Blank,1
Kern,2014,Physical Rehabilitation Care,1940
Kern,2014,Psychiatric Care,3256
Kern,2014,Skilled Nursing/Intermediate Care,483
Kern,2015,Acute Care,83111
Kern,2015,Chemical Dependency Recovery Care,296
Kern,2015,Physical Rehabilitation Care,1845
Kern,2015,Psychiatric Care,3434
Kern,2015,Skilled Nursing/Intermediate Care,504
Kern,2016,Acute Care,85417
Kern,2016,Chemical Dependency Recovery Care,194
Kern,2016,Physical Rehabilitation Care,1938
Kern,2016,Psychiatric Care,3293
Kern,2016,Skilled Nursing/Intermediate Care,529
Kern,2017,Acute Care,85372
Kern,2017,Chemical Dependency Recovery Care,164
Kern,2017,Physical Rehabilitation Care,2092
Kern,2017,Psychiatric Care,3023
Kern,2017,Skilled Nursing/Intermediate Care,346
Kern,2018,Acute Care,81862
Kern,2018,Chemical Dependency Recovery Care,103
Kern,2018,Physical Rehabilitation Care,1935
Kern,2018,Psychiatric Care,2936
Kern,2018,Skilled Nursing/Intermediate Care,294
Kern,2019,Acute Care,83539
Kern,2019,Chemical Dependency Recovery Care,133
Kern,2019,Physical Rehabilitation Care,1986
Kern,2019,Psychiatric Care,3397
Kern,2019,Skilled Nursing/Intermediate Care,314
Kern,2020,Acute Care,77888
Kern,2020,Chemical Dependency Recovery Care,128
Kern,2020,Invalid/Blank,1
Kern,2020,Physical Rehabilitation Care,1733
Kern,2020,Psychiatric Care,3315
Kern,2020,Skilled Nursing/Intermediate Care,302
Kern,2021,Acute Care,81160
Kern,2021,Chemical Dependency Recovery Care,113
Kern,2021,Physical Rehabilitation Care,1849
Kern,2021,Psychiatric Care,2971
Kern,2021,Skilled Nursing/Intermediate Care,282
Kern,2022,Acute Care,78513
Kern,2022,Chemical Dependency Recovery Care,113
Kern,2022,Physical Rehabilitation Care,2140
Kern,2022,Psychiatric Care,3867
Kern,2022,Skilled Nursing/Intermediate Care,236
Kern,2023,Acute Care,78180
Kern,2023,Chemical Dependency Recovery Care,83
Kern,2023,Physical Rehabilitation Care,2535
Kern,2023,Psychiatric Care,4826
Kern,2023,Skilled Nursing/Intermediate Care,197
Kings,2012,Acute Care,14287
Kings,2012,Chemical Dependency Recovery Care,13
Kings,2012,Physical Rehabilitation Care,100
Kings,2012,Psychiatric Care,353
Kings,2012,Skilled Nursing/Intermediate Care,67
Kings,2013,Acute Care,13452
Kings,2013,Chemical Dependency Recovery Care,9
Kings,2013,Physical Rehabilitation Care,104
Kings,2013,Psychiatric Care,356
Kings,2013,Skilled Nursing/Intermediate Care,52
Kings,2014,Acute Care,13193
Kings,2014,Chemical Dependency Recovery Care,5
Kings,2014,Physical Rehabilitation Care,95
Kings,2014,Psychiatric Care,339
Kings,2014,Skilled Nursing/Intermediate Care,56
Kings,2015,Acute Care,13438
Kings,2015,Chemical Dependency Recovery Care,13
Kings,2015,Physical Rehabilitation Care,95
Kings,2015,Psychiatric Care,319
Kings,2015,Skilled Nursing/Intermediate Care,54
Kings,2016,Acute Care,13214
Kings,2016,Chemical Dependency Recovery Care,8
Kings,2016,Physical Rehabilitation Care,89
Kings,2016,Psychiatric Care,272
Kings,2016,Skilled Nursing/Intermediate Care,62
Kings,2017,Acute Care,14445
Kings,2017,Chemical Dependency Recovery Care,9
Kings,2017,Physical Rehabilitation Care,101
Kings,2017,Psychiatric Care,276
Kings,2017,Skilled Nursing/Intermediate Care,54
Kings,2018,Acute Care,13364
Kings,2018,Chemical Dependency Recovery Care,5
Kings,2018,Physical Rehabilitation Care,126
Kings,2018,Psychiatric Care,259
Kings,2018,Skilled Nursing/Intermediate Care,49
Kings,2019,Acute Care,13450
Kings,2019,Chemical Dependency Recovery Care,8
Kings,2019,Physical Rehabilitation Care,101
Kings,2019,Psychiatric Care,423
Kings,2019,Skilled Nursing/Intermediate Care,75
Kings,2020,Acute Care,12852
Kings,2020,Chemical Dependency Recovery Care,5
Kings,2020,Physical Rehabilitation Care,81
Kings,2020,Psychiatric Care,391
Kings,2020,Skilled Nursing/Intermediate Care,73
Kings,2021,Acute Care,13039
Kings,2021,Chemical Dependency Recovery Care,10
Kings,2021,Physical Rehabilitation Care,71
Kings,2021,Psychiatric Care,398
Kings,2021,Skilled Nursing/Intermediate Care,78
Kings,2022,Acute Care,12833
Kings,2022,Chemical Dependency Recovery Care,14
Kings,2022,Physical Rehabilitation Care,89
Kings,2022,Psychiatric Care,406
Kings,2022,Skilled Nursing/Intermediate Care,110
Kings,2023,Acute Care,11943
Kings,2023,Chemical Dependency Recovery Care,10
Kings,2023,Physical Rehabilitation Care,100
Kings,2023,Psychiatric Care,508
Kings,2023,Skilled Nursing/Intermediate Care,92
Lake,2012,Acute Care,8556
Lake,2012,Chemical Dependency Recovery Care,4
Lake,2012,Physical Rehabilitation Care,69
Lake,2012,Psychiatric Care,320
Lake,2012,Skilled Nursing/Intermediate Care,145
Lake,2013,Acute Care,8510
Lake,2013,Chemical Dependency Recovery Care,3
Lake,2013,Physical Rehabilitation Care,50
Lake,2013,Psychiatric Care,329
Lake,2013,Skilled Nursing/Intermediate Care,97
Lake,2014,Acute Care,7833
Lake,2014,Chemical Dependency Recovery Care,5
Lake,2014,Invalid/Blank,1
Lake,2014,Physical Rehabilitation Care,48
Lake,2014,Psychiatric Care,406
Lake,2014,Skilled Nursing/Intermediate Care,81
Lake,2015,Acute Care,8055
Lake,2015,Chemical Dependency Recovery Care,3
Lake,2015,Physical Rehabilitation Care,56
Lake,2015,Psychiatric Care,338
Lake,2015,Skilled Nursing/Intermediate Care,123
Lake,2016,Acute Care,8350
Lake,2016,Physical Rehabilitation Care,66
Lake,2016,Psychiatric Care,299
Lake,2016,Skilled Nursing/Intermediate Care,134
Lake,2017,Acute Care,8499
Lake,2017,Chemical Dependency Recovery Care,7
Lake,2017,Physical Rehabilitation Care,52
Lake,2017,Psychiatric Care,300
Lake,2017,Skilled Nursing/Intermediate Care,190
Lake,2018,Acute Care,8477
Lake,2018,Chemical Dependency Recovery Care,1
Lake,2018,Physical Rehabilitation Care,69
Lake,2018,Psychiatric Care,246
Lake,2018,Skilled Nursing/Intermediate Care,115
Lake,2019,Acute Care,8391
Lake,2019,Chemical Dependency Recovery Care,2
Lake,2019,Physical Rehabilitation Care,61
Lake,2019,Psychiatric Care,245
Lake,2019,Skilled Nursing/Intermediate Care,141
Lake,2020,Acute Care,7192
Lake,2020,Physical Rehabilitation Care,71
Lake,2020,Psychiatric Care,254
Lake,2020,Skilled Nursing/Intermediate Care,129
Lake,2021,Acute Care,7481
Lake,2021,Chemical Dependency Recovery Care,2
Lake,2021,Physical Rehabilitation Care,64
Lake,2021,Psychiatric Care,278
Lake,2021,Skilled Nursing/Intermediate Care,165
Lake,2022,Acute Care,7304
Lake,2022,Chemical Dependency Recovery Care,1
Lake,2022,Physical Rehabilitation Care,66
Lake,2022,Psychiatric Care,275
Lake,2022,Skilled Nursing/Intermediate Care,151
Lake,2023,Acute Care,7348
Lake,2023,Physical Rehabilitation Care,63
Lake,2023,Psychiatric Care,342
Lake,2023,Skilled Nursing/Intermediate Care,124
Lassen,2012,Acute Care,1957
Lassen,2012,Chemical Dependency Recovery Care,2
Lassen,2012,Physical Rehabilitation Care,7
Lassen,2012,Psychiatric Care,48
Lassen,2012,Skilled Nursing/Intermediate Care,25
Lassen,2013,Acute Care,1894
Lassen,2013,Physical Rehabilitation Care,5
Lassen,2013,Psychiatric Care,46
Lassen,2013,Skilled Nursing/Intermediate Care,26
Lassen,2014,Acute Care,1952
Lassen,2014,Physical Rehabilitation Care,14
Lassen,2014,Psychiatric Care,53
Lassen,2014,Skilled Nursing/Intermediate Care,29
Lassen,2015,Acute Care,1848
Lassen,2015,Chemical Dependency Recovery Care,2
Lassen,2015,Physical Rehabilitation Care,7
Lassen,2015,Psychiatric Care,67
Lassen,2015,Skilled Nursing/Intermediate Care,27
Lassen,2016,Acute Care,1765
Lassen,2016,Chemical Dependency Recovery Care,1
Lassen,2016,Physical Rehabilitation Care,12
Lassen,2016,Psychiatric Care,114
Lassen,2016,Skilled Nursing/Intermediate Care,18
Lassen,2017,Acute Care,1665
Lassen,2017,Physical Rehabilitation Care,4
Lassen,2017,Psychiatric Care,75
Lassen,2017,Skilled Nursing/Intermediate Care,24
Lassen,2018,Acute Care,1629
Lassen,2018,Chemical Dependency Recovery Care,3
Lassen,2018,Physical Rehabilitation Care,10
Lassen,2018,Psychiatric Care,78
Lassen,2018,Skilled Nursing/Intermediate Care,32
Lassen,2019,Acute Care,1590
Lassen,2019,Chemical Dependency Recovery Care,1
Lassen,2019,Physical Rehabilitation Care,6
Lassen,2019,Psychiatric Care,66
Lassen,2019,Skilled Nursing/Intermediate Care,27
Lassen,2020,Acute Care,1398
Lassen,2020,Chemical Dependency Recovery Care,1
Lassen,2020,Physical Rehabilitation Care,5
Lassen,2020,Psychiatric Care,55
Lassen,2020,Skilled Nursing/Intermediate Care,17
Lassen,2021,Acute Care,1446
Lassen,2021,Chemical Dependency Recovery Care,3
Lassen,2021,Physical Rehabilitation Care,8
Lassen,2021,Psychiatric Care,33
Lassen,2021,Skilled Nursing/Intermediate Care,21
Lassen,2022,Acute Care,1389
Lassen,2022,Chemical Dependency Recovery Care,1
Lassen,2022,Physical Rehabilitation Care,4
Lassen,2022,Psychiatric Care,38
Lassen,2022,Skilled Nursing/Intermediate Care,21
Lassen,2023,Acute Care,1285
Lassen,2023,Chemical Dependency Recovery Care,1
Lassen,2023,Physical Rehabilitation Care,19
Lassen,2023,Psychiatric Care,61
Lassen,2023,Skilled Nursing/Intermediate Care,11
Los Angeles,2012,Acute Care,996587
Los Angeles,2012,Chemical Dependency Recovery Care,3345
Los Angeles,2012,Invalid/Blank,1
Los Angeles,2012,Physical Rehabilitation Care,9671
Los Angeles,2012,Psychiatric Care,68244
Los Angeles,2012,Skilled Nursing/Intermediate Care,11378
Los Angeles,2013,Acute Care,960545
Los Angeles,2013,Chemical Dependency Recovery Care,3046
Los Angeles,2013,Invalid/Blank,12
Los Angeles,2013,Physical Rehabilitation Care,9523
Los Angeles,2013,Psychiatric Care,67334
Los Angeles,2013,Skilled Nursing/Intermediate Care,11086
Los Angeles,2014,Acute Care,960918
Los Angeles,2014,Chemical Dependency Recovery Care,2792
Los Angeles,2014,Invalid/Blank,7
Los Angeles,2014,Physical Rehabilitation Care,9889
Los Angeles,2014,Psychiatric Care,66209
Los Angeles,2014,Skilled Nursing/Intermediate Care,10424
Los Angeles,2015,Acute Care,964604
Los Angeles,2015,Chemical Dependency Recovery Care,3070
Los Angeles,2015,Invalid/Blank,9
Los Angeles,2015,Physical Rehabilitation Care,9929
Los Angeles,2015,Psychiatric Care,65397
Los Angeles,2015,Skilled Nursing/Intermediate Care,8600
Los Angeles,2016,Acute Care,962611
Los Angeles,2016,Chemical Dependency Recovery Care,3108
Los Angeles,2016,Invalid/Blank,15
Los Angeles,2016,Physical Rehabilitation Care,9383
Los Angeles,2016,Psychiatric Care,66492
Los Angeles,2016,Skilled Nursing/Intermediate Care,7901
Los Angeles,2017,Acute Care,950176
Los Angeles,2017,Chemical Dependency Recovery Care,3259
Los Angeles,2017,Invalid/Blank,62
Los Angeles,2017,Physical Rehabilitation Care,10275
Los Angeles,2017,Psychiatric Care,64510
Los Angeles,2017,Skilled Nursing/Intermediate Care,7395
Los Angeles,2018,Acute Care,926671
Los Angeles,2018,Chemical Dependency Recovery Care,3711
Los Angeles,2018,Invalid/Blank,41
Los Angeles,2018,Physical Rehabilitation Care,11620
Los Angeles,2018,Psychiatric Care,61561
Los Angeles,2018,Skilled Nursing/Intermediate Care,6898
Los Angeles,2019,Acute Care,915228
Los Angeles,2019,Chemical Dependency Recovery Care,3853
Los Angeles,2019,Invalid/Blank,91
Los Angeles,2019,Physical Rehabilitation Care,12415
Los Angeles,2019,Psychiatric Care,57400
Los Angeles,2019,Skilled Nursing/Intermediate Care,6537
Los Angeles,2020,Acute Care,803410
Los Angeles,2020,Chemical Dependency Recovery Care,3217
Los Angeles,2020,Invalid/Blank,18
Los Angeles,2020,Physical Rehabilitation Care,12103
Los Angeles,2020,Psychiatric Care,50651
Los Angeles,2020,Skilled Nursing/Intermediate Care,4846
Los Angeles,2021,Acute Care,825101
Los Angeles,2021,Chemical Dependency Recovery Care,3201
Los Angeles,2021,Invalid/Blank,51
Los Angeles,2021,Physical Rehabilitation Care,12488
Los Angeles,2021,Psychiatric Care,51425
Los Angeles,2021,Skilled Nursing/Intermediate Care,4731
Los Angeles,2022,Acute Care,834095
Los Angeles,2022,Chemical Dependency Recovery Care,2905
Los Angeles,2022,Invalid/Blank,18
Los Angeles,2022,Physical Rehabilitation Care,12264
Los Angeles,2022,Psychiatric Care,49926
Los Angeles,2022,Skilled Nursing/Intermediate Care,4844
Los Angeles,2023,Acute Care,853774
Los Angeles,2023,Chemical Dependency Recovery Care,3436
Los Angeles,2023,Invalid/Blank,31
Los Angeles,2023,Physical Rehabilitation Care,12732
Los Angeles,2023,Psychiatric Care,64108
Los Angeles,2023,Skilled Nursing/Intermediate Care,5388
Madera,2012,Acute Care,14311
Madera,2012,Chemical Dependency Recovery Care,4
Madera,2012,Physical Rehabilitation Care,69
Madera,2012,Psychiatric Care,476
Madera,2012,Skilled Nursing/Intermediate Care,15
Madera,2013,Acute Care,14285
Madera,2013,Chemical Dependency Recovery Care,4
Madera,2013,Physical Rehabilitation Care,60
Madera,2013,Psychiatric Care,407
Madera,2013,Skilled Nursing/Intermediate Care,30
Madera,2014,Acute Care,14194
Madera,2014,Chemical Dependency Recovery Care,2
Madera,2014,Physical Rehabilitation Care,71
Madera,2014,Psychiatric Care,391
Madera,2014,Skilled Nursing/Intermediate Care,30
Madera,2015,Acute Care,14266
Madera,2015,Chemical Dependency Recovery Care,2
Madera,2015,Physical Rehabilitation Care,59
Madera,2015,Psychiatric Care,405
Madera,2015,Skilled Nursing/Intermediate Care,27
Madera,2016,Acute Care,14468
Madera,2016,Chemical Dependency Recovery Care,3
Madera,2016,Physical Rehabilitation Care,91
Madera,2016,Psychiatric Care,378
Madera,2016,Skilled Nursing/Intermediate Care,18
Madera,2017,Acute Care,13957
Madera,2017,Chemical Dependency Recovery Care,10
Madera,2017,Physical Rehabilitation Care,70
Madera,2017,Psychiatric Care,451
Madera,2017,Skilled Nursing/Intermediate Care,19
Madera,2018,Acute Care,14151
Madera,2018,Chemical Dependency Recovery Care,3
Madera,2018,Physical Rehabilitation Care,87
Madera,2018,Psychiatric Care,433
Madera,2018,Skilled Nursing/Intermediate Care,22
Madera,2019,Acute Care,13826
Madera,2019,Chemical Dependency Recovery Care,5
Madera,2019,Physical Rehabilitation Care,82
Madera,2019,Psychiatric Care,408
Madera,2019,Skilled Nursing/Intermediate Care,15
Madera,2020,Acute Care,12925
Madera,2020,Chemical Dependency Recovery Care,4
Madera,2020,Physical Rehabilitation Care,66
Madera,2020,Psychiatric Care,380
Madera,2020,Skilled Nursing/Intermediate Care,3
Madera,2021,Acute Care,13208
Madera,2021,Chemical Dependency Recovery Care,14
Madera,2021,Physical Rehabilitation Care,75
Madera,2021,Psychiatric Care,400
Madera,2021,Skilled Nursing/Intermediate Care,8
Madera,2022,Acute Care,13750
Madera,2022,Chemical Dependency Recovery Care,7
Madera,2022,Physical Rehabilitation Care,65
Madera,2022,Psychiatric Care,371
Madera,2022,Skilled Nursing/Intermediate Care,2
Madera,2023,Acute Care,14255
Madera,2023,Chemical Dependency Recovery Care,11
Madera,2023,Physical Rehabilitation Care,72
Madera,2023,Psychiatric Care,439
Madera,2023,Skilled Nursing/Intermediate Care,13
Marin,2012,Acute Care,20055
Marin,2012,Chemical Dependency Recovery Care,48
Marin,2012,Physical Rehabilitation Care,198
Marin,2012,Psychiatric Care,817
Marin,2012,Skilled Nursing/Intermediate Care,94
Marin,2013,Acute Care,19476
Marin,2013,Chemical Dependency Recovery Care,54
Marin,2013,Physical Rehabilitation Care,199
Marin,2013,Psychiatric Care,801
Marin,2013,Skilled Nursing/Intermediate Care,75
Marin,2014,Acute Care,18766
Marin,2014,Chemical Dependency Recovery Care,46
Marin,2014,Physical Rehabilitation Care,180
Marin,2014,Psychiatric Care,837
Marin,2014,Skilled Nursing/Intermediate Care,66
Marin,2015,Acute Care,18823
Marin,2015,Chemical Dependency Recovery Care,43
Marin,2015,Physical Rehabilitation Care,161
Marin,2015,Psychiatric Care,867
Marin,2015,Skilled Nursing/Intermediate Care,43
Marin,2016,Acute Care,19197
Marin,2016,Chemical Dependency Recovery Care,28
Marin,2016,Physical Rehabilitation Care,182
Marin,2016,Psychiatric Care,913
Marin,2016,Skilled Nursing/Intermediate Care,44
Marin,2017,Acute Care,19321
Marin,2017,Chemical Dependency Recovery Care,38
Marin,2017,Physical Rehabilitation Care,163
Marin,2017,Psychiatric Care,947
Marin,2017,Skilled Nursing/Intermediate Care,59
Marin,2018,Acute Care,18339
Marin,2018,Chemical Dependency Recovery Care,21
Marin,2018,Physical Rehabilitation Care,165
Marin,2018,Psychiatric Care,866
Marin,2018,Skilled Nursing/Intermediate Care,35
Marin,2019,Acute Care,17734
Marin,2019,Chemical Dependency Recovery Care,22
Marin,2019,Physical Rehabilitation Care,197
Marin,2019,Psychiatric Care,861
Marin,2019,Skilled Nursing/Intermediate Care,25
Marin,2020,Acute Care,15971
Marin,2020,Chemical Dependency Recovery Care,24
Marin,2020,Physical Rehabilitation Care,137
Marin,2020,Psychiatric Care,777
Marin,2020,Skilled Nursing/Intermediate Care,29
Marin,2021,Acute Care,17360
Marin,2021,Chemical Dependency Recovery Care,18
Marin,2021,Physical Rehabilitation Care,155
Marin,2021,Psychiatric Care,798
Marin,2021,Skilled Nursing/Intermediate Care,28
Marin,2022,Acute Care,18057
Marin,2022,Chemical Dependency Recovery Care,19
Marin,2022,Physical Rehabilitation Care,153
Marin,2022,Psychiatric Care,801
Marin,2022,Skilled Nursing/Intermediate Care,30
Marin,2023,Acute Care,19860
Marin,2023,Chemical Dependency Recovery Care,23
Marin,2023,Physical Rehabilitation Care,167
Marin,2023,Psychiatric Care,883
Marin,2023,Skilled Nursing/Intermediate Care,32
Mariposa,2012,Acute Care,1760
Mariposa,2012,Chemical Dependency Recovery Care,2
Mariposa,2012,Physical Rehabilitation Care,15
Mariposa,2012,Psychiatric Care,57
Mariposa,2012,Skilled Nursing/Intermediate Care,38
Mariposa,2013,Acute Care,1523
Mariposa,2013,Physical Rehabilitation Care,11
Mariposa,2013,Psychiatric Care,38
Mariposa,2013,Skilled Nursing/Intermediate Care,45
Mariposa,2014,Acute Care,1564
Mariposa,2014,Chemical Dependency Recovery Care,1
Mariposa,2014,Physical Rehabilitation Care,9
Mariposa,2014,Psychiatric Care,48
Mariposa,2014,Skilled Nursing/Intermediate Care,63
Mariposa,2015,Acute Care,1725
Mariposa,2015,Chemical Dependency Recovery Care,1
Mariposa,2015,Invalid/Blank,1
Mariposa,2015,Physical Rehabilitation Care,7
Mariposa,2015,Psychiatric Care,47
Mariposa,2015,Skilled Nursing/Intermediate Care,60
Mariposa,2016,Acute Care,1677
Mariposa,2016,Chemical Dependency Recovery Care,3
Mariposa,2016,Physical Rehabilitation Care,10
Mariposa,2016,Psychiatric Care,44
Mariposa,2016,Skilled Nursing/Intermediate Care,91
Mariposa,2017,Acute Care,1716
